Year,Population,Population growth rate,GDP,GDP growth percentage,Annual change in GDP growth,GDP Per Capita,Annual Growth Rate in GDP Per Capita,GNI,GNI Growth Rate,GNI Per Capita,GNI Per Capita Annual Growth Rate,Government Debt as % of GDP,Annual Change in Debt to GDP Ratio,GNP,Inflation Rate,Annual Change in Inflation Rate
2021,"2,17,73,441",0.27%,$84.52B,3.66%,7.27%,"$3,815",3.27%,$84.57B,4.12%,"$3,820",2.69%,Null,Null,$84.57B,7.01%,0.86%
2020,"2,17,15,079",0.30%,$80.97B,-3.62%,-5.94%,"$3,694",-4.01%,$81.45B,-3.45%,"$3,720",-7.23%,Null,Null,$81.45B,6.15%,2.63%
2019,"2,16,49,664",0.32%,$83.90B,2.33%,-0.94%,"$3,848",-5.20%,$87.46B,2.14%,"$4,010",-0.74%,Null,Null,$87.46B,3.53%,1.39%
2018,"2,15,80,710",0.34%,$87.96B,3.27%,-0.31%,"$4,059",-0.44%,$87.46B,3.19%,"$4,040",4.39%,Null,Null,$87.46B,2.14%,-5.57%
2017,"2,15,06,813",0.38%,$87.43B,3.58%,-0.91%,"$4,077",4.91%,$83.01B,3.59%,"$3,870",1.57%,Null,Null,$83.01B,7.70%,3.75%
2016,"2,14,25,494",0.42%,$82.40B,4.49%,-0.52%,"$3,886",1.11%,$80.68B,4.26%,"$3,810",1.33%,Null,Null,$80.68B,3.96%,0.19%
2015,"2,13,36,697",0.46%,$80.60B,5.01%,0.05%,"$3,844",0.64%,$78.75B,4.70%,"$3,760",3.30%,77.65%,6.32%,$78.75B,3.77%,0.59%
2014,"2,12,39,457",0.51%,$79.36B,4.96%,1.57%,"$3,819",5.79%,$75.60B,5.00%,"$3,640",4.30%,71.33%,0.51%,$75.60B,3.18%,-3.73%
2013,"2,11,31,756",0.55%,$74.32B,3.40%,-5.75%,"$3,610",7.75%,$71.92B,2.76%,"$3,490",3.87%,70.82%,2.11%,$71.92B,6.91%,-0.63%
2012,"2,10,17,147",0.75%,$68.43B,9.14%,0.74%,"$3,351",4.68%,$68.56B,8.30%,"$3,360",17.89%,68.71%,-2.40%,$68.56B,7.54%,0.83%
2011,"2,08,59,743",0.93%,$65.29B,8.40%,0.39%,"$3,201",14.33%,$58.05B,8.53%,"$2,850",18.26%,71.11%,-0.48%,$58.05B,6.72%,0.50%
2010,"2,06,68,557",0.91%,$56.73B,8.02%,4.48%,"$2,800",33.93%,$48.80B,8.06%,"$2,410",19.90%,71.59%,-14.48%,$48.80B,6.22%,2.75%
2009,"2,04,82,477",0.97%,$42.07B,3.54%,-2.41%,"$2,090",2.61%,$40.38B,4.67%,"$2,010",12.29%,86.06%,1.07%,$40.38B,3.47%,-19.10%
2008,"2,02,85,643",1.03%,$40.71B,5.95%,-0.85%,"$2,037",24.96%,$35.80B,4.70%,"$1,790",15.48%,Null,Null,$35.80B,22.56%,6.72%
2007,"2,00,78,655",1.05%,$32.35B,6.80%,-0.87%,"$1,630",13.55%,$30.78B,7.10%,"$1,550",13.97%,84.99%,-3.71%,$30.78B,15.84%,5.82%
2006,"1,98,70,706",1.00%,$28.28B,7.67%,1.43%,"$1,436",14.99%,$26.81B,7.52%,"$1,360",12.40%,88.70%,-1.91%,$26.81B,10.02%,-1.62%
2005,"1,96,73,866",0.94%,$24.41B,6.24%,0.80%,"$1,249",17.16%,$23.69B,6.02%,"$1,210",14.15%,90.60%,-11.72%,$23.69B,11.64%,4.06%
